question,answer
What is theorized that the reason why the special Eevee owned by Chloe Cerise cannot evolve is related to its hesitancy in making important decisions?,Yes
"Do the terms ""Galician-Portuguese"",  ""Old Portuguese"" and ""Old Galician"" refer to the same medieval language? ",Yes 
Who is Squirtle voiced by in English?,Eric Stuart and Michele Knotz
Are all modern Punjabis Sunni Muslim?,no
Why did Li Shimin kill two of his brothers?,He feared assassination
Did Gujarat once have one the most important ports in the world?,Yes
"What are the countries of origin of the ""luso-"" prefix?",Spain and Portugal
Where do the majority of Spanish speakers live?,Hispanic America
Was there a securely dated event in Chinese history before the start of the Gonghe Regency in 841 BC?,No
Was it unexpected for Indonesian to be choosen as the national language of Indonesia?,Yes 
"Except for Jolteon and Flareon, who were the Eeveelutions designed by?",Atsuko Nishida
Did Emperor Wen defeat Northern Wei in 452?,No
Which dynasty made a total end to the Liang dynasty,the Sui dynasty
Which country was the first European power to arrive in Gujarat?,Portugal
Is the Shang dynasty the earliest dynast of traditional Chinese history supported by archaeological evidence?,Yes
Is Karnataka home to Kannadigas?,No
Is the March equinox is currently located in Pisces?,Yes
What is another name for Libra in arabic?,scorpian's claws
What is the metro rail system in the city of Kochi called?,Kochi Metro
Is there a large variety of orchids in Meghalaya?,Yes.
Is Portuguese the second-most spoken European language in the world?,No
Which language did all Romance languages descend from?,Vulgar Latin
What was the capital when the Chaulukya dynasty ruled Gujarat? ,Anhilwara/Patan  
What modern day city was identified as the last capital city of the Shang dynasty?,Anyang
Was Cao Wei ended before Eastern Wu?,Yes
Why did Jigglypuff draw on the audience's faces?,Because they were upset that they were falling asleep
What trade was Kerala known for?,the spice trade
Had Xiao Bo been killed by his own generals is 506?,No
Is African American Vernacular English non-rhotic?,Yes
Where is the Sui dynasty capital?,Chang'an
What happened to Shang clans after the dynasty's collapse?,"They migrated northeast, maintained an elite status, and continued their Shang traditions"
Who wrote the Records of the Grand Historian?,Sima Qian
Is the service sector bigger than the production sector in Maharashtra?,Yes
Which star in the Sagittarius constellation is the brightest and has a magnitude of 1.85?,Epsilon Sagittarii
What became a major influence in Chinese culture?,Buddhism
Is Messier 65 part of Leo Triplet?,Yes
Is it true that most of the grammatical and typological features of Spanish are shared with the other Romance languages?,Yes
Were the Merseburg Charms originally written using a printing press?,No
What percentage of the EU speaks French?,19.71%
Is Charmander featured in Super Smash Bros.?,Yes
Which country has the largest population of native Spanish speakers?,Mexico
How many years passed between the two renamings of Topeka?,20
Does Mount Everst belongs in Rajasthan?,no
Which constellation lies between Virgo and Scorpius?,Libra
Were Dutch colonizers successful in spreading the Dutch language in Indonesia,No
Is present day Meghalaya part of Assam? ,No
Is Gujarat the largest Indian state by  area?,No
Who was Hou Jing rebellion with in 548?,Xiao Zhengde
What are the two well-known star clouds within Sagittarius?,"The Large Sagittarius Star Cloud, The Small Sagittarius Star Cloud"
In which parts of India is Urdu spoken?,Those with large Muslim minorities
Is the Association of Spanish Language Academies the entity which regulates the Spanish language?,Yes
How many separate words does Bengali have?,"100,000"
Was Indonesian the most widely spoken local language when it was adopted?,No
Who first recorded Cancer?,Claudius Ptolemy
Tang dynasty is preceded by which dynasty?,Sui dynasty
From whom did Wang Mang learn to rule?,The Duke of Zhou.
Who created the Pokémon franchise?,Satoshi Tajiri
What is Charizard called in Japan?,Lizardon
When did Bulbasaur made its video game debut?,"February 27, 1996"
Who is the founder of the Chen dynasty?,Chen Baxian
Who calculated the traditional dates of the dynasty during the Han dynasty?,Liu Xin
When did the British annex the Punjab?,1849
Is Mumbai the capital of Madhya Pradesh?,No
Was this a period that cutted off the country?,No
What is the brightest star in the Taurus constellation?,Red giant Aldebaran 
Andhras are also known as what?,The Satavahanas
Who god did the Romans associate with Virgo?,Ceres.
Which Chen dynasty emperor married Liu Jingyan and had a son Chen Shubao?,Chen Xu
How far is the Messier 67 from Earth?,2600 light years
When does Orion hunt?,Every summer
Does Psyduck have a small tuft of black hair at the top of its head?,Yes
Did Magikarp appear flopping around in a dried-up lake in more than one video game?,Yes
Did the Confucian scholars support Emperor Wen's reforms?,Yes
Is Mewtwo taller than 2 meters tall?,Yes.
What was the capital of the Eastern Zhou?,Wangcheng
What enables Squirtles to swim at high speeds?,Their shell's round shape and the grooves on their surface 
Which state has the tallest single-tiered waterfall in India?,Karnataka
At what level does Charmander evolve into Charmeleon?,16
What is the largest city of the state that has Bhopal as its capital?,Madhya Pradesh
"In the anime, who besides Ash trained Bulbasaur?",May
What does Psyduck evolve into?,Golduck
Was Gorochu ever created?,No
Was Mewtwo a modified clone in the games?,No.
Which place in northeast China received signnificant settlements by Han Chinese before 18th Century?,Liaoning
What is the variety with the most speakers?,Mexican spanish
"Who brought several changes to the legal system, built modern means of transport, improved mass education, standardised the Marathi language, and introduced mass media to Maharashtra?",British
Did Misty catch a Psyduck deliberately in Hypno's Naptime?,No
Which constellation did the December solstice take place in before Sagittarius?,Capricornus
Is the Jin dynasty well known for the greenish celadon porcelain wares and Jar designs with animal or Buddhist figures?,Yes
What period of the history of English was characterized by inflectional simplification?,Early Modern English
What region absorbed the Mughal Empire in 1576?,Bengal
When was the common Western depiction of Aquarius established?,the first century
What percentage of tourists in Maharashtra are from other countries?,2.00%
Who discovered the Trifid Nebula?,Charles Messier
The Nibelungenlied is an important work from which period/epoch? ,Middle Ages
Is Kerala the 21st largest Indian state by area?,yes
What was the name of the first episode of the Pokémon anime in which Eevee appeared?,The Battling Eevee Brothers
What does Pikachu have on their cheeks?,"black-tipped, pointed ears and red circular pouches "
"How many pronouns meaning ""you"" does Spanish have?",Two
What caused Liu Ziye to kill the three sons of one of his aunts?,She refused to have sexual intercourse with him.
Is there considerable variations among the German dialects?,Yes
When was Pluto discovered?,1930
Do Indonesian and Malaysian have differences in vocabulary?,Yes
What is the Kerala local festival conducted by temples on annual basis that take the idol out on a procession with a elephant?,Utsavam
What does a player need for Venusaur to evolve into Mega Venusaur?,Venusaurite
Are all the 88 modern constellations today as recognizable as Leo?,No
Which constellation represents Zeus transformed?,Aquila
Who discovered a II-P supernova in the outer regions of M74?,Robert Evans
Are there many large Portuguese immigrant communities all over the world?,Yes
The rivers referenced in the meaning of Punjab are tributaries of which river?,The Indus River
What is Jigglypuff known as in Japan?,Purin.
"In Detective Pikachu, was the Eevee evolved into a Vaporeon?","No, Flareon."
When was Yanshi Shang City discovered?,1983
Where are the ruins of the Indus Valley Civilization at Kalibangan and Balathal located?,Rajasthan
"According to the Sri Lankan chronicle Mahavams, what did Prince Vijaya name Lanka after conquering it?",Sinhala Kingdom
What is Snorlax's most notable role in the Pokemon games?,An inadvertent roadblock
Which move in Super Smash Bros. appearances changes most?,Rest
What cities were the written standard developed in?,Toledo and Madrid.
Does Sagittarius have one singular identity in Greek mythology?,No
How many fingers did Ken Sugimori draw for Charmander on each hand?,4
Which pokemon is known as the balloon pokemon?,Jigglypuff
What is the popultation of Meghalaya?,"3,211,474 people"
Who is the author of New Songs of Yutai?,Xu Ling
Portuguese has more than 10 vowels (including oral and nasal vowels),Yes
"How much was ""thicc Charizard"" sold as an NFT for?","over $30,000"
What was the gross state domestic product of West Bengal in 2020-21 in US$?,170 billion
Is Mewtwo a real create?,No
Is it believed that the Shang buried their kings with accompanying people because of the belief in the afterlife?, Yes
Since when have people lived in Mehalaya?,Since the Neolithic period.
Is Tatsam pronounced the same as classical Sanskrit?,No
